page_idx,label,source
0,CREDIT_REPORT,rule
1,URLA_1003,rule
2,CREDIT_REPORT,rule
3,URLA_1003,rule
4,CREDIT_REPORT,rule
5,URLA_1003,rule
6,CREDIT_REPORT,rule
7,OTHER,llm
8,CREDIT_REPORT,rule
9,URLA_1003,rule
10,CREDIT_REPORT,rule
11,TITLE_REPORT,rule
12,CREDIT_REPORT,rule
13,URLA_1003,rule
14,CREDIT_REPORT,rule
15,TITLE_REPORT,rule
16,CREDIT_REPORT,rule
17,TITLE_REPORT,rule
18,CREDIT_REPORT,rule
19,URLA_1003,rule
20,CREDIT_REPORT,rule
21,TITLE_REPORT,rule
22,CREDIT_REPORT,rule
23,URLA_1003,rule
24,CREDIT_REPORT,rule
25,URLA_1003,rule
26,CREDIT_REPORT,rule
27,TITLE_REPORT,rule
28,CREDIT_REPORT,rule
29,URLA_1003,rule
30,CREDIT_REPORT,rule
31,TITLE_REPORT,rule
32,CREDIT_REPORT,rule
33,TITLE_REPORT,rule
34,URLA_1003,rule
35,OTHER,llm
36,TITLE_REPORT,rule
37,URLA_1003,rule
38,CREDIT_REPORT,rule
