label,sub_doc_id,ordered_page_indices,total_pages_declared,ordering_method
CREDIT_REPORT,CREDIT_REPORT_1,"8,30,38,4,32,18,0,14,26,10,6",11,page_number
CREDIT_REPORT,CREDIT_REPORT_2,2,,unordered_single
CREDIT_REPORT,CREDIT_REPORT_3,12,,unordered_single
CREDIT_REPORT,CREDIT_REPORT_4,16,,unordered_single
CREDIT_REPORT,CREDIT_REPORT_5,20,,unordered_single
CREDIT_REPORT,CREDIT_REPORT_6,22,,unordered_single
CREDIT_REPORT,CREDIT_REPORT_7,24,,unordered_single
CREDIT_REPORT,CREDIT_REPORT_8,28,,unordered_single
OTHER,OTHER_1,7,,unordered_single
OTHER,OTHER_2,35,,unordered_single
TITLE_REPORT,TITLE_REPORT_1,"31,33,36,11,21,15,17,27",,page_number
URLA_1003,URLA_1003_1,"5,37,9,19,3,13,29,23,34,1,25",11,page_number
